contacts
1677215,ALL,CALLS
1,TG1 WW,-
5,TG5 VK Nets,-
8,TG8 StateLnkd,-
9,TG9 Local,-
13,TG13 WWE,-
30,TG30 JOTA,-
100,TG100 Tech Talk,-
113,TG113 UA Eng 1,-
123,TG123 UA Eng 2,-
133,TG133 DMR+USA,-
143,TG143 DMR+UK,-
153,TG153 DMR+Sth P,-
351,PRIVATE,-
505,TG:505 VK,-
950,TAXI GN,-
3800,TG3800 AU,-
3801,TG3801 ACT,-
3802,TG3802 NSW,-
3803,TG3803 Vic,-
3804,TG3804 Qld,-
3805,TG3805 SA,-
3806,TG3806 WA,-
3807,TG3807 TAS,-
3808,TG3808 VK8,-
3809,TG3809 VK9,-
4000,Reflctr Discnct,-
5000,Rpt Status,-
5050,TG5050 AU BM,-
5051,TG5051 ACT BM,-
5052,TG5052 NSW BM,-
5053,TG5053 VIC BM,-
5054,TG5054 QLD BM,-
5055,TG5055 SA BM,-
5056,TG5056 WA BM,-
5057,TG5057 Tas BM,-
50599,YSF-BM X,-
505001,BM LOCAL,-
91,TG91 BM WW,-
913,TG913 BM WWE,-
923,TG923 BM EU E,-
95,TG95 BM PacRim,-
50566,VK WICEN BM,-
4639,ref4581 tg133 US,-
4404,ref4404 tg143 UK,-
4851,ref4851 tg153 SP,-
4800,ref4800 tg3800,-
4801,ref4801 tg3801,-
4802,ref4802 tg3802,-
4803,ref4803 tg3803,-
4804,ref4804 tg3804,-
4805,ref4805 tg3805,-
4806,ref4806 tg3806,-
4807,ref4807 tg3807,-
26204,TG26204 BM,-
31665,TG31665 BM,-
5052011,VK2MCA,-
5052041,VK2MCA/P,-
5052073,VK2MRC,-
5052097,VK2MCA/M,-
5052247,VK2HJ,-
5052300,VK2JUZ,-
5052311,VK2DTW,-
5052323,VK2YMC,-
5052324,VK2IJ,-
5052325,VK2VCR,-
5052365,VK2PET,-
5052359,VK2KVP,-
